index,year,month,day,time,camera,tag,prediction
274,2022,08,14,0751,B,HD0820,1
275,2022,08,14,0756,B,HD0821,1
276,2022,08,14,0801,B,HD0822,1
277,2022,08,14,0806,B,HD0823,1
278,2022,08,14,0811,B,HD0824,1
279,2022,08,14,0816,B,HD0825,1
280,2022,08,14,0821,B,HD0826,1
281,2022,08,14,0826,B,HD0827,1
282,2022,08,14,0831,B,HD0828,1
283,2022,08,14,0836,B,HD0829,1
284,2022,08,14,0841,B,HD0830,1
285,2022,08,14,0846,B,HD0831,1
286,2022,08,14,0851,B,HD0832,1
287,2022,08,14,0856,B,HD0833,1
288,2022,08,14,0901,B,HD0834,1
289,2022,08,14,0906,B,HD0835,1
290,2022,08,14,0911,B,HD0836,1
291,2022,08,14,0916,B,HD0837,1
292,2022,08,14,0921,B,HD0838,1
293,2022,08,14,0926,B,HD0839,1
294,2022,08,14,0931,B,HD0840,1
295,2022,08,14,0936,B,HD0841,1
296,2022,08,14,0941,B,HD0842,1
297,2022,08,14,0946,B,HD0843,1
298,2022,08,14,0951,B,HD0844,1
299,2022,08,14,0956,B,HD0845,1
300,2022,08,14,1001,B,HD0846,1
301,2022,08,14,1006,B,HD0847,1
302,2022,08,14,1011,B,HD0848,1
303,2022,08,14,1016,B,HD0849,0
304,2022,08,14,1021,B,HD0850,0
305,2022,08,14,1026,B,HD0851,1
306,2022,08,14,1031,B,HD0852,1
307,2022,08,14,1036,B,HD0853,1
308,2022,08,14,1041,B,HD0854,1
309,2022,08,14,1046,B,HD0855,0
310,2022,08,14,1051,B,HD0856,1
311,2022,08,14,1056,B,HD0857,0
312,2022,08,14,1101,B,HD0858,1
313,2022,08,14,1106,B,HD0859,1
314,2022,08,14,1111,B,HD0860,1
315,2022,08,14,1116,B,HD0861,1
316,2022,08,14,1121,B,HD0862,1
317,2022,08,14,1126,B,HD0863,1
318,2022,08,14,1131,B,HD0864,1
319,2022,08,14,1136,B,HD0865,1
320,2022,08,14,1141,B,HD0866,1
321,2022,08,14,1146,B,HD0867,1
322,2022,08,14,1151,B,HD0868,1
323,2022,08,14,1156,B,HD0869,0
324,2022,08,14,1202,B,HD0870,1
325,2022,08,14,1244,B,HD0871,1
326,2022,08,14,1249,B,HD0872,1
327,2022,08,14,1254,B,HD0873,1
328,2022,08,14,1259,B,HD0874,1
329,2022,08,14,1304,B,HD0875,1
330,2022,08,14,1309,B,HD0876,1
331,2022,08,14,1314,B,HD0877,1
332,2022,08,14,1319,B,HD0878,1
333,2022,08,14,1324,B,HD0879,1
334,2022,08,14,1329,B,HD0880,1
335,2022,08,14,1334,B,HD0881,1
336,2022,08,14,1339,B,HD0882,1
337,2022,08,14,1344,B,HD0883,1
338,2022,08,14,1349,B,HD0884,1
339,2022,08,14,1354,B,HD0885,1
340,2022,08,14,1359,B,HD0886,1
341,2022,08,14,1404,B,HD0887,1
342,2022,08,14,1409,B,HD0888,1
343,2022,08,14,1414,B,HD0889,1
344,2022,08,14,1419,B,HD0890,1
345,2022,08,14,1424,B,HD0891,1
346,2022,08,14,1429,B,HD0892,1
347,2022,08,14,1434,B,HD0893,1
348,2022,08,14,1439,B,HD0894,1
349,2022,08,14,1444,B,HD0895,1
350,2022,08,14,1449,B,HD0896,1
351,2022,08,14,1454,B,HD0897,1
352,2022,08,14,1459,B,HD0898,0
353,2022,08,14,1504,B,HD0899,1
354,2022,08,14,1509,B,HD0900,1
355,2022,08,14,1514,B,HD0901,1
356,2022,08,14,1519,B,HD0902,1
357,2022,08,14,1524,B,HD0903,1
358,2022,08,14,1529,B,HD0904,1
359,2022,08,14,1534,B,HD0905,1
360,2022,08,14,1539,B,HD0906,0
361,2022,08,14,1544,B,HD0907,0
